ID,taxonID,binomial,habitat,importance,season,suitability,class_id,habitat_2,responseClass
192312,101228458,Coendou prehensilis,Forest - Subtropical/Tropical Moist Lowland,NA,NA,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,FS
192313,101228458,Coendou prehensilis,Forest - Subtropical/Tropical Moist Montane,NA,NA,Marginal,109,Forest - Subtropical/Tropical Moist Montane,FS
192314,101228458,Coendou prehensilis,Forest - Subtropical/Tropical Dry,NA,NA,Suitable,105,Forest - Subtropical/Tropical Dry,FS
190995,10203,Histiotus velatus,Forest - Subtropical/Tropical Moist Lowland,NA,NA,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,RCU
190996,10203,Histiotus velatus,Artificial/Terrestrial - Urban Areas,NA,NA,Marginal,1405,Artificial/Terrestrial - Urban Areas,RCU
217409,10217,Holochilus brasiliensis,Artificial/Aquatic - Irrigated Land (includes irrigation channels),NA,NA,Marginal,1507,Artificial/Aquatic - Irrigated Land (includes irrigation channels),MCU
217410,10217,Holochilus brasiliensis,Artificial/Terrestrial - Arable Land,NA,NA,Marginal,1401,Artificial/Terrestrial - Arable Land,MCU
217411,10217,Holochilus brasiliensis,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",NA,NA,Suitable,504,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",MCU
217412,10217,Holochilus brasiliensis,Wetlands (inland) - Shrub Dominated Wetlands,NA,NA,Suitable,503,Wetlands (inland) - Shrub Dominated Wetlands,MCU
217413,10217,Holochilus brasiliensis,Forest - Subtropical/Tropical Moist Lowland,NA,NA,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,MCU
217417,10219,Lundomys molitor,Wetlands (inland) - Shrub Dominated Wetlands,NA,NA,Suitable,503,Wetlands (inland) - Shrub Dominated Wetlands,NHS
217418,10219,Lundomys molitor,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",NA,NA,Suitable,504,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",NHS
217419,10219,Lundomys molitor,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),NA,NA,Suitable,501,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),NHS
217420,10219,Lundomys molitor,Forest - Temperate,NA,NA,Marginal,104,Forest - Temperate,NHS
217421,10219,Lundomys molitor,Grassland - Temperate,NA,NA,Suitable,404,Grassland - Temperate,NHS
217422,10220,Holochilus sciureus,Grassland - Subtropical/Tropical Seasonally Wet/Flooded,NA,NA,Suitable,406,Grassland - Subtropical/Tropical Seasonally Wet/Flooded,NHS
217423,10220,Holochilus sciureus,Wetlands (inland) - Shrub Dominated Wetlands,NA,NA,Suitable,503,Wetlands (inland) - Shrub Dominated Wetlands,NHS
217424,10220,Holochilus sciureus,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),NA,NA,Suitable,501,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),NHS
191068,102208365,Molossus coibensis,Forest - Subtropical/Tropical Moist Lowland,NA,NA,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,RCU
191069,102208365,Molossus coibensis,Forest - Subtropical/Tropical Dry,NA,NA,Suitable,105,Forest - Subtropical/Tropical Dry,RCU
191070,102208365,Molossus coibensis,Forest - Temperate,NA,NA,Suitable,104,Forest - Temperate,RCU
191071,102208365,Molossus coibensis,Artificial/Terrestrial - Urban Areas,NA,NA,Suitable,1405,Artificial/Terrestrial - Urban Areas,RCU
192055,10300,Hydrochoerus hydrochaeris,Savanna - Moist,NA,NA,Suitable,202,Savanna - Moist,NHS
192056,10300,Hydrochoerus hydrochaeris,Forest - Subtropical/Tropical Moist Lowland,NA,NA,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,NHS
192057,10300,Hydrochoerus hydrochaeris,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",NA,NA,Suitable,504,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",NHS
21614,103657276,Epinecrophylla ornata,Forest - Subtropical/Tropical Moist Lowland,Yes,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,NHS
24739,103657276,Epinecrophylla ornata,Forest - Subtropical/Tropical Swamp,Yes,resident,Suitable,108,Forest - Subtropical/Tropical Swamp,NHS
84387,103657276,Epinecrophylla ornata,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),No,resident,Suitable,501,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),NHS
21615,103657286,Epinecrophylla hoffmannsi,Forest - Subtropical/Tropical Moist Lowland,Yes,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,NHS
24740,103657286,Epinecrophylla hoffmannsi,Forest - Subtropical/Tropical Swamp,Yes,resident,Suitable,108,Forest - Subtropical/Tropical Swamp,NHS
84388,103657286,Epinecrophylla hoffmannsi,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),No,resident,Suitable,501,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),NHS
9749,103657300,Formicivora grisea,Forest - Subtropical/Tropical Dry,No,resident,Suitable,105,Forest - Subtropical/Tropical Dry,NHS
21616,103657300,Formicivora grisea,Forest - Subtropical/Tropical Moist Lowland,No,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,NHS
23501,103657300,Formicivora grisea,Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level,No,resident,Suitable,107,Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level,NHS
33399,103657300,Formicivora grisea,Forest - Subtropical/Tropical Moist Montane,No,resident,Suitable,109,Forest - Subtropical/Tropical Moist Montane,NHS
58698,103657300,Formicivora grisea,Savanna - Moist,No,resident,Suitable,202,Savanna - Moist,NHS
65422,103657300,Formicivora grisea,Shrubland - Subtropical/Tropical Dry,No,resident,Suitable,305,Shrubland - Subtropical/Tropical Dry,NHS
67901,103657300,Formicivora grisea,Shrubland - Subtropical/Tropical Moist,No,resident,Suitable,306,Shrubland - Subtropical/Tropical Moist,NHS
21618,103657355,Epinecrophylla haematonota,Forest - Subtropical/Tropical Moist Lowland,Yes,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,FS
21619,103657368,Epinecrophylla amazonica,Forest - Subtropical/Tropical Moist Lowland,Yes,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,FS
21621,103657467,Myrmotherula axillaris,Forest - Subtropical/Tropical Moist Lowland,Yes,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,NHS
24741,103657467,Myrmotherula axillaris,Forest - Subtropical/Tropical Swamp,Yes,resident,Suitable,108,Forest - Subtropical/Tropical Swamp,NHS
51743,103657467,Myrmotherula axillaris,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,No,resident,Suitable,1406,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,NHS
84389,103657467,Myrmotherula axillaris,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),No,resident,Suitable,501,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),NHS
21622,103657471,Myrmotherula luctuosa,Forest - Subtropical/Tropical Moist Lowland,Yes,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,NHS
24742,103657471,Myrmotherula luctuosa,Forest - Subtropical/Tropical Swamp,Yes,resident,Suitable,108,Forest - Subtropical/Tropical Swamp,NHS
51744,103657471,Myrmotherula luctuosa,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,No,resident,Suitable,1406,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,NHS
84390,103657471,Myrmotherula luctuosa,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),No,resident,Suitable,501,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),NHS
9752,103657703,Herpsilochmus rufimarginatus,Forest - Subtropical/Tropical Dry,No,resident,Suitable,105,Forest - Subtropical/Tropical Dry,NHS
21625,103657703,Herpsilochmus rufimarginatus,Forest - Subtropical/Tropical Moist Lowland,Yes,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,NHS
33401,103657703,Herpsilochmus rufimarginatus,Forest - Subtropical/Tropical Moist Montane,No,resident,Suitable,109,Forest - Subtropical/Tropical Moist Montane,NHS
57879,103657703,Herpsilochmus rufimarginatus,Savanna - Dry,No,resident,Suitable,201,Savanna - Dry,NHS
65425,103657703,Herpsilochmus rufimarginatus,Shrubland - Subtropical/Tropical Dry,No,resident,Suitable,305,Shrubland - Subtropical/Tropical Dry,NHS
9753,103657707,Herpsilochmus scapularis,Forest - Subtropical/Tropical Dry,No,resident,Suitable,105,Forest - Subtropical/Tropical Dry,NHS
21626,103657707,Herpsilochmus scapularis,Forest - Subtropical/Tropical Moist Lowland,Yes,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,NHS
33402,103657707,Herpsilochmus scapularis,Forest - Subtropical/Tropical Moist Montane,No,resident,Suitable,109,Forest - Subtropical/Tropical Moist Montane,NHS
57880,103657707,Herpsilochmus scapularis,Savanna - Dry,No,resident,Suitable,201,Savanna - Dry,NHS
65426,103657707,Herpsilochmus scapularis,Shrubland - Subtropical/Tropical Dry,No,resident,Suitable,305,Shrubland - Subtropical/Tropical Dry,NHS
9754,103657712,Sakesphorus canadensis,Forest - Subtropical/Tropical Dry,No,resident,Suitable,105,Forest - Subtropical/Tropical Dry,RCU
21627,103657712,Sakesphorus canadensis,Forest - Subtropical/Tropical Moist Lowland,No,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,RCU
23503,103657712,Sakesphorus canadensis,Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level,No,resident,Suitable,107,Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level,RCU
24743,103657712,Sakesphorus canadensis,Forest - Subtropical/Tropical Swamp,No,resident,Suitable,108,Forest - Subtropical/Tropical Swamp,RCU
49355,103657712,Sakesphorus canadensis,Artificial/Terrestrial - Urban Areas,No,resident,Suitable,1405,Artificial/Terrestrial - Urban Areas,RCU
57881,103657712,Sakesphorus canadensis,Savanna - Dry,No,resident,Suitable,201,Savanna - Dry,RCU
65427,103657712,Sakesphorus canadensis,Shrubland - Subtropical/Tropical Dry,No,resident,Suitable,305,Shrubland - Subtropical/Tropical Dry,RCU
84391,103657712,Sakesphorus canadensis,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),No,resident,Suitable,501,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),RCU
33403,103657721,Thamnophilus ruficapillus,Forest - Subtropical/Tropical Moist Montane,Yes,resident,Suitable,109,Forest - Subtropical/Tropical Moist Montane,NHS
51745,103657721,Thamnophilus ruficapillus,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,No,resident,Suitable,1406,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,NHS
