lulcID,lulc,ontoName
19,Temporary Crop,barley
19,Temporary Crop,common bean
19,Temporary Crop,broad bean
19,Temporary Crop,buckwheat
19,Temporary Crop,manioc | cassava | tapioca
19,Temporary Crop,castor bean
19,Temporary Crop,garlic
19,Temporary Crop,peanut | goundnut
19,Temporary Crop,jute
19,Temporary Crop,linseed
19,Temporary Crop,maize
19,Temporary Crop,cantaloupe
19,Temporary Crop,melon
19,Temporary Crop,oat
19,Temporary Crop,onion
19,Temporary Crop,potato
19,Temporary Crop,rapeseed | colza
19,Temporary Crop,rye
19,Temporary Crop,sesame
19,Temporary Crop,sorghum
19,Temporary Crop,strawberry
19,Temporary Crop,sunflower
19,Temporary Crop,sweet potato
19,Temporary Crop,tomato
19,Temporary Crop,watermelon
19,Temporary Crop,wheat
19,Temporary Crop,yam
19,Temporary Crop,triticale
19,Temporary Crop,guarana
41,other Temporary Crop,barley
41,other Temporary Crop,common bean
41,other Temporary Crop,broad bean
41,other Temporary Crop,buckwheat
41,other Temporary Crop,manioc | cassava | tapioca
41,other Temporary Crop,castor bean
41,other Temporary Crop,garlic
41,other Temporary Crop,peanut | goundnut
41,other Temporary Crop,jute
41,other Temporary Crop,linseed
41,other Temporary Crop,maize
41,other Temporary Crop,cantaloupe
41,other Temporary Crop,melon
41,other Temporary Crop,oat
41,other Temporary Crop,onion
41,other Temporary Crop,potato
41,other Temporary Crop,rapeseed | colza
41,other Temporary Crop,rye
41,other Temporary Crop,sesame
41,other Temporary Crop,sorghum
41,other Temporary Crop,strawberry
41,other Temporary Crop,sunflower
41,other Temporary Crop,sweet potato
41,other Temporary Crop,tomato
41,other Temporary Crop,watermelon
41,other Temporary Crop,wheat
41,other Temporary Crop,yam
41,other Temporary Crop,triticale
41,other Temporary Crop,guarana
20,Sugar cane,sugar cane
36,Perennial Crop,apple
36,Perennial Crop,avocado
36,Perennial Crop,banana
36,Perennial Crop,cashew
36,Perennial Crop,cocoa | cacao
36,Perennial Crop,coconut
36,Perennial Crop,fig
36,Perennial Crop,grape
36,Perennial Crop,guava
36,Perennial Crop,mango
36,Perennial Crop,mangosteen
36,Perennial Crop,mate
36,Perennial Crop,oil palm
36,Perennial Crop,olive
36,Perennial Crop,papaya
36,Perennial Crop,peach
36,Perennial Crop,pear
36,Perennial Crop,pea
36,Perennial Crop,pepper
36,Perennial Crop,persimmon
36,Perennial Crop,pineapple
36,Perennial Crop,quince
36,Perennial Crop,ramie
36,Perennial Crop,natural rubber
36,Perennial Crop,sisal
36,Perennial Crop,satsuma
36,Perennial Crop,tea
36,Perennial Crop,tobacco
36,Perennial Crop,tung nut
36,Perennial Crop,walnut
36,Perennial Crop,acai
48,other Perennial Crop,apple
48,other Perennial Crop,avocado
48,other Perennial Crop,banana
48,other Perennial Crop,cashew
48,other Perennial Crop,cocoa | cacao
48,other Perennial Crop,coconut
48,other Perennial Crop,fig
48,other Perennial Crop,grape
48,other Perennial Crop,guava
48,other Perennial Crop,mango
48,other Perennial Crop,mangosteen
48,other Perennial Crop,mate
48,other Perennial Crop,oil palm
48,other Perennial Crop,olive
48,other Perennial Crop,papaya
48,other Perennial Crop,peach
48,other Perennial Crop,pear
48,other Perennial Crop,pea
48,other Perennial Crop,pepper
48,other Perennial Crop,persimmon
48,other Perennial Crop,pineapple
48,other Perennial Crop,quince
48,other Perennial Crop,ramie
48,other Perennial Crop,natural rubber
48,other Perennial Crop,sisal
48,other Perennial Crop,satsuma
48,other Perennial Crop,tea
48,other Perennial Crop,tobacco
48,other Perennial Crop,tung nut
48,other Perennial Crop,walnut
48,other Perennial Crop,acai
39,Soybean,soybean
40,Rice,rice
46,Coffee,coffee
47,Citrus,grapefruit
47,Citrus,pomelo
47,Citrus,lemon
47,Citrus,lime
47,Citrus,orange
47,Citrus,nectarine
47,Citrus,clementine | mandarine
47,Citrus,tangerine
62,Cotton,cotton
18,Agriculture,barley
18,Agriculture,common bean
18,Agriculture,broad bean
18,Agriculture,buckwheat
18,Agriculture,manioc | cassava | tapioca
18,Agriculture,castor bean
18,Agriculture,garlic
18,Agriculture,peanut | goundnut
18,Agriculture,jute
18,Agriculture,linseed
18,Agriculture,maize
18,Agriculture,cantaloupe
18,Agriculture,melon
18,Agriculture,oat
18,Agriculture,onion
18,Agriculture,potato
18,Agriculture,rapeseed | colza
18,Agriculture,rye
18,Agriculture,sesame
18,Agriculture,sorghum
18,Agriculture,strawberry
18,Agriculture,sunflower
18,Agriculture,sweet potato
18,Agriculture,tomato
18,Agriculture,watermelon
18,Agriculture,wheat
18,Agriculture,yam
18,Agriculture,triticale
18,Agriculture,guarana
18,Agriculture,sugar cane
18,Agriculture,apple
18,Agriculture,avocado
18,Agriculture,banana
18,Agriculture,cashew
18,Agriculture,cocoa | cacao
18,Agriculture,coconut
18,Agriculture,fig
18,Agriculture,grape
18,Agriculture,guava
18,Agriculture,mango
18,Agriculture,mangosteen
18,Agriculture,mate
18,Agriculture,oil palm
18,Agriculture,olive
18,Agriculture,papaya
18,Agriculture,peach
18,Agriculture,pear
18,Agriculture,pea
18,Agriculture,pepper
18,Agriculture,persimmon
18,Agriculture,pineapple
18,Agriculture,quince
18,Agriculture,ramie
18,Agriculture,natural rubber
18,Agriculture,sisal
18,Agriculture,satsuma
18,Agriculture,tea
18,Agriculture,tobacco
18,Agriculture,tung nut
18,Agriculture,walnut
18,Agriculture,acai
18,Agriculture,soybean
18,Agriculture,rice
18,Agriculture,coffee
18,Agriculture,grapefruit
18,Agriculture,pomelo
18,Agriculture,lemon
18,Agriculture,lime
18,Agriculture,orange
18,Agriculture,nectarine
18,Agriculture,clementine | mandarine
18,Agriculture,tangerine
18,Agriculture,cotton
14,Farming,barley
14,Farming,common bean
